event,event_date,asset,asset_name,day,AR,CAR,direction
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-5,0.6704912220038096,0.6704912220038096,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-4,-0.3111798869445103,0.3593113350592993,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-3,-1.0370909099103056,-0.6777795748510063,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-2,-5.2749127787079555,-5.9526923535589615,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,-1,1.3617306141385424,-4.590961739420419,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,0,-2.36348504044795,-6.95444677986837,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,1,3.7032469275667674,-3.2511998523016024,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,2,0.5929075619236517,-2.6582922903779505,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,3,-2.2209479624146984,-4.879240252792648,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,4,-1.3406098689764745,-6.219850121769123,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,5,-4.3686732895411655,-10.588523411310288,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,6,0.8021746493358384,-9.786348761974448,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,7,-1.7287126169687448,-11.515061378943193,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,8,-0.05167363142126957,-11.566735010364463,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,9,-0.935052566166954,-12.501787576531417,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,ICLN,Clean Energy,10,1.169357517733863,-11.332430058797554,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-5,3.4659291248661765,3.4659291248661765,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-4,-1.0486771716435799,2.4172519532225967,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-3,3.3956972167932236,5.81294917001582,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-2,-3.035953031321631,2.7769961386941886,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,-1,1.1139257034493193,3.890921842143508,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,0,-1.219176959911401,2.671744882232107,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,1,-3.4920611762397282,-0.8203162940076214,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,2,-0.041317739233810324,-0.8616340332414317,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,3,-1.4410371242889286,-2.3026711575303604,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,4,-1.917255846759948,-4.219927004290309,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,5,1.6540397146336745,-2.5658872896566343,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,6,0.19592035626349558,-2.3699669333931386,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,7,-0.9030138021858054,-3.272980735578944,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,8,-1.2061925198412609,-4.479173255420205,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,9,-0.5408946802215859,-5.020067935641791,green_positive
Biden Inauguration / Paris Rejoining,2021-01-20,XLE,Fossil Fuels,10,4.145807591639499,-0.874260344002292,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-5,-2.9564039819082124,-2.9564039819082124,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-4,2.9278772451925428,-0.02852673671566963,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-3,-1.5480478625443654,-1.576574599260035,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-2,0.3832126123450387,-1.1933619869149963,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,-1,0.6386575890350574,-0.5547043978799389,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,0,3.971441163573475,3.4167367656935363,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,1,0.34642345695084087,3.763160222644377,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,2,0.3236576473354587,4.086817869979836,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,3,-0.13532159577628033,3.9514962742035555,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,4,-1.8573152145790164,2.094181059624539,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,5,-2.374529139668735,-0.2803480800441962,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,6,-0.6591373581786566,-0.9394854382228528,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,7,-1.6057544195887394,-2.545239857811592,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,8,-3.0775851707778945,-5.622825028589487,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,9,-0.028020964494752165,-5.650845993084239,green_positive
Biden Climate Summit 2030 Target,2021-04-22,ICLN,Clean Energy,10,-2.401202113071749,-8.052048106155988,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-5,-2.3584893626549928,-2.3584893626549928,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-4,-1.4519434384313836,-3.8104328010863764,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-3,0.2508679545386946,-3.5595648465476817,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-2,-2.0344513842732113,-5.594016230820893,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,-1,-0.12135306690684922,-5.715369297727742,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,0,-0.31123486532660083,-6.026604163054342,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,1,-0.6453692957246588,-6.671973458779001,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,2,0.17348674595190033,-6.4984867128271,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,3,0.9867486787654194,-5.511738034061681,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,4,3.1803012170043647,-2.331436817057316,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,5,0.09566377971756945,-2.2357730373397464,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,6,-2.001920460064086,-4.237693497403832,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,7,2.210646331104555,-2.027047166299277,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,8,0.566768099175874,-1.4602790671234032,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,9,2.896526141895057,1.436247074771654,green_positive
Biden Climate Summit 2030 Target,2021-04-22,XLE,Fossil Fuels,10,-0.6964564912952858,0.7397905834763683,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-5,0.9930280167377343,0.9930280167377343,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-4,-0.7458183678608575,0.2472096488768768,green_positive
COP26 Glasgow Opens,2021-11-01,ICLN,Clean Energy,-3,3.3600834872812135,3.6072931361580904,green_positive
